;BLOQUES C;OBJETOS;();LISTAS;FUNCIONAL;LÓGICO;S XXI;MICROSOFT;APPLE;COMPILADO;INTERPRETADO;ALTO;BAJO;LINUX;STD;BBDD;IMPERATIVO;MARCAJE;WEB;DATOS;NAVEGADOR;GOOGLE;MOZILLA;ORACLE;JMV;ANDROID;IOS;<>;TENSORFLOW;OPENCV;VIDEOJUEGOS;N-VIDIA;"SENTENCIAS TERMINAN EN ;";TIPADO FUERTE;TIPADO DINAMICO;AUTOTIPADO;lazzy memory;tiene punteros;recolector de basura;concurrencia basada en agentes;transaccional;admite GOTO;diseñado para menejar texto y archivos;;;;;;;;;;;;;;;;;;;;;
C;1;0;0;0;0;0;0;n;n;1;0;0;1;1;n;n;1;0;n;0;0;1;1;n;0;n;1;n;1;1;n;1;1;1;0;0;0;1;0;0;n;0;0;;;;;;;;;;;;;;;;;;;;;
C++;1;1;0;0;n;0;0;n;1;1;0;n;1;n;1;n;1;0;n;0;0;1;1;n;0;n;1;n;n;1;1;n;1;1;n;1;0;1;0;0;n;0;0;;;;;;;;;;;;;;;;;;;;;
JAVA;1;1;0;0;n;0;0;n;n;n;1;1;0;0;0;0;1;0;1;0;n;n;n;1;1;1;0;n;1;1;n;0;1;1;n;n;0;0;1;n;n;0;0;;;;;;;;;;;;;;;;;;;;;
PYTHON;0;1;0;0;n;0;n;n;n;n;1;1;0;1;0;n;1;0;1;0;0;1;n;n;0;n;n;0;1;1;n;n;0;0;1;1;n;n;1;n;0;0;0;;;;;;;;;;;;;;;;;;;;;
PERL;1;1;0;n;n;0;0;0;0;n;1;1;n;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;n;n;n;0;0;0;0;0;n;n;;;;;;;;;;;;;;;;;;;;;
SWIFT;1;1;0;0;n;0;n;0;1;n;1;1;n;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;n;1;n;0;n;n;n;1;n;n;n;n;0;0;0;;;;;;;;;;;;;;;;;;;;;
HASKEL;0;0;0;n;1;n;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;n;1;1;1;0;1;n;0;0;0;;;;;;;;;;;;;;;;;;;;;
PROLOG;0;0;n;1;n;1;0;0;0;n;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;n;1;1;n;0;1;n;n;0;0;;;;;;;;;;;;;;;;;;;;;
LUA;0;1;0;0;0;0;0;0;0;n;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;n;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;
OBJETIVE-C;1;1;n;0;0;0;0;0;1;1;0;1;n;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;
OBJETIVE-C++;1;1;n;0;0;0;n;0;n;1;0;1;n;0;n;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;n;1;0;n;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;
C#;1;1;0;0;n;0;1;1;0;n;1;1;n;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;n;1;0;n;n;n;0;0;0;;;;;;;;;;;;;;;;;;;;;
F#;0;1;0;0;1;n;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;n;n;n;n;0;1;n;n;0;0;;;;;;;;;;;;;;;;;;;;;
SQL;0;0;0;0;0;n;n;n;n;0;1;1;0;0;0;1;0;0;n;n;n;n;n;n;0;n;n;0;0;0;0;0;1;n;n;n;n;0;n;n;1;0;n;;;;;;;;;;;;;;;;;;;;;
JAVASCRIPT;1;1;0;0;n;0;n;n;n;0;1;1;0;0;0;0;1;0;1;0;1;n;n;n;n;1;1;0;1;n;1;n;1;0;n;n;0;0;1;n;0;0;0;;;;;;;;;;;;;;;;;;;;;
OCALM;0;0;0;1;1;n;0;0;0;n;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;n;n;n;0;1;n;n;0;0;;;;;;;;;;;;;;;;;;;;;
LISP;0;0;1;1;n;n;0;0;0;n;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;n;n;n;n;0;1;n;n;0;0;;;;;;;;;;;;;;;;;;;;;
RUBY;0;1;0;0;n;0;n;0;0;n;1;1;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;n;n;0;n;1;1;n;0;0;;;;;;;;;;;;;;;;;;;;;
GO;1;1;0;0;n;0;1;0;0;n;1;1;n;n;0;0;1;0;1;0;n;1;0;0;0;0;0;0;0;0;0;0;1;1;n;1;0;n;1;1;n;0;0;;;;;;;;;;;;;;;;;;;;;
PHP;1;1;0;0;0;0;0;0;n;n;1;1;0;n;0;n;1;0;1;0;n;n;n;n;0;0;0;0;0;0;0;0;1;n;n;1;0;0;n;0;n;0;n;;;;;;;;;;;;;;;;;;;;;
XML;0;1;0;0;0;0;0;n;n;0;n;1;0;n;0;n;0;n;n;1;n;n;n;n;0;1;1;1;0;0;0;0;0;n;n;n;0;0;0;0;0;0;n;;;;;;;;;;;;;;;;;;;;;
JSON;0;1;0;0;0;0;n;n;n;0;n;1;0;n;0;n;0;n;1;1;n;n;n;n;0;n;1;0;0;0;0;0;n;n;n;n;0;0;0;0;0;0;n;;;;;;;;;;;;;;;;;;;;;
HTML 5;0;n;0;0;0;0;n;n;n;0;n;1;0;0;0;0;0;1;1;n;1;n;n;n;0;1;1;1;0;0;1;0;0;n;n;n;0;0;n;0;0;0;n;;;;;;;;;;;;;;;;;;;;;
CSS3;0;n;0;0;0;0;n;n;n;0;n;1;0;0;0;0;0;n;1;n;1;n;n;n;0;1;1;0;0;0;1;0;0;n;n;n;0;0;0;0;0;0;n;;;;;;;;;;;;;;;;;;;;;
R;0;1;0;0;1;0;n;n;n;n;n;1;0;0;0;0;1;0;0;0;0;0;0;0;0;n;n;0;0;0;0;0;0;n;n;1;n;0;n;n;0;n;0;;;;;;;;;;;;;;;;;;;;;
RUST;1;1;0;0;n;0;1;0;0;1;0;n;1;n;0;n;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;n;0;1;0;1;n;0;0;;;;;;;;;;;;;;;;;;;;;
VISUALBASIC;0;0;0;0;0;0;n;1;0;1;0;n;n;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;n;0;0;1;n;;;;;;;;;;;;;;;;;;;;;
BASIC;0;0;0;0;0;0;0;1;0;1;0;n;n;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;n;;;;;;;;;;;;;;;;;;;;;
ADA;0;1;0;0;0;0;0;0;0;1;0;n;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;n;0;n;n;0;0;;;;;;;;;;;;;;;;;;;;;
KOTLIN;1;1;0;0;n;0;1;0;0;n;1;1;0;0;0;0;1;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;n;n;1;0;0;1;n;0;0;0;;;;;;;;;;;;;;;;;;;;;
SCALA;1;1;0;0;1;0;1;0;0;n;1;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;;;;;;;;;;;;;;;;;;;;;
FORTRAN;0;0;0;0;0;0;0;0;0;1;0;1;n;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;;;;;;;;;;;;;;;;;;;;;
CUDA;1;0;0;0;0;0;n;0;0;1;0;n;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;n;0;0;1;1;1;1;0;0;0;1;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;
PASCAL;0;0;0;0;0;0;0;0;0;1;0;n;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;;;;;;;;;;;;;;;;;;;;;
COBOL;0;0;0;0;0;0;0;0;0;1;0;n;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;
ERLANG;0;0;1;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;n;0;n;1;n;0;0;;;;;;;;;;;;;;;;;;;;;
ELIXIR;0;0;1;0;1;0;0;0;0;n;n;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;n;0;n;1;n;0;0;;;;;;;;;;;;;;;;;;;;;
MATHLAB;0;0;0;0;0;0;0;n;n;n;n;1;0;0;0;0;1;0;0;0;0;n;0;0;0;n;0;0;0;0;0;0;0;n;n;n;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;
ASSEMBLY;0;0;0;0;0;0;0;n;n;1;0;0;1;n;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;n;1;0;0;0;1;0;0;1;1;0;;;;;;;;;;;;;;;;;;;;;
SMALTALK;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;;;;;;;;;;;;;;;;;;;;;
SNOBOL;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;n;n;0;0;0;0;0;0;1;;;;;;;;;;;;;;;;;;;;;
MODULA;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;;;;;;;;;;;;;;;;;;;;;
EIFEL;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;
FALCON;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;
AWK;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;n;n;0;0;0;0;0;0;1;;;;;;;;;;;;;;;;;;;;;
BASH;0;0;0;0;0;0;0;0;0;0;1;n;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;n;;;;;;;;;;;;;;;;;;;;;
ORWELL;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;n;n;1;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;
MIRANDA;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;
GOFER;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;n;n;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;
ALGOL;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;
GROOVY;1;1;0;0;0;0;1;0;0;n;1;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;n;n;0;0;1;0;0;0;0;;;;;;;;;;;;;;;;;;;;;
BOO;0;1;0;0;0;0;1;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;
ICON;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;n;0;0;0;0;0;0;1;;;;;;;;;;;;;;;;;;;;;
GENIE;0;1;0;0;0;0;1;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;;;;;;;;;;;;;;;;;;;;;
ABC;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;n;1;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;
B;0;0;0;0;0;0;0;0;0;1;0;n;n;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;
D;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;
OBERON;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;
LIMBO;1;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;1;0;0;;;;;;;;;;;;;;;;;;;;;
FORTH;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;
CLOS;0;0;1;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;
JULIA;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;;;;;;;;;;;;;;;;;;;;;
DYLAN;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;
WEB ASSEMBLY;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;1;n;n;n;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;;;;;;;;;;;;;;;;;;;;;